season,game_date,opposition,venue,score,home_team,away_team,outcome,home_goals,away_goals,secondary_score,competition,goals_for,goals_against,source_url,attendance,stadium,league_tier,generic_comp,game_type,goal_diff,ssn_game_no,ssn_comp_game_no,weekday,manager
1921/22,1921-11-19,Altrincham,A,4-4,Altrincham,Tranmere Rovers,D,4,4,,FA Cup,4,4,,2000.0,,,FA Cup,Cup,0,13,1,,
1921/22,1921-11-24,Altrincham,H,2-4,Tranmere Rovers,Altrincham,L,2,4,,FA Cup,2,4,,4000.0,,,FA Cup,Cup,-2,14,2,,
1922/23,1922-11-18,Wellington St George's,A,0-2,Wellington St George's,Tranmere Rovers,L,2,0,,FA Cup,0,2,,3000.0,,,FA Cup,Cup,-2,13,1,,
1923/24,1923-11-17,Ellesmere Port,H,1-0,Tranmere Rovers,Ellesmere Port,W,1,0,,FA Cup,1,0,,5000.0,,,FA Cup,Cup,1,15,1,,
1923/24,1923-12-15,Gillingham,A,0-1,Gillingham,Tranmere Rovers,L,1,0,,FA Cup,0,1,,8000.0,,,FA Cup,Cup,-1,20,1,,
1924/25,1924-11-15,Crewe Alexandra,H,1-1,Tranmere Rovers,Crewe Alexandra,D,1,1,,FA Cup,1,1,,7000.0,,,FA Cup,Cup,0,14,1,,
1924/25,1924-11-19,Crewe Alexandra,A,2-0,Crewe Alexandra,Tranmere Rovers,W,0,2,,FA Cup,2,0,,4000.0,,,FA Cup,Cup,2,15,2,,
1924/25,1924-11-29,Southport,H,1-1,Tranmere Rovers,Southport,D,1,1,,FA Cup,1,1,,9367.0,,,FA Cup,Cup,0,17,3,,
1924/25,1924-12-03,Southport,A,0-1,Southport,Tranmere Rovers,L,1,0,,FA Cup,0,1,,5000.0,,,FA Cup,Cup,-1,18,4,,
